Month,No. of Banks live on UPI,Volume (In Mn.),Value (In Cr.)
March-2022,314,5405.65,"9,60,581.66"
February-2022,304,4527.49,"8,26,843.00"
January-2022,297,4617.15,"8,31,993.11"
December-2021,282,4566.3,"8,26,848.22"
November-2021,274,4186.48,"7,68,436.11"
October-2021,261,4218.65,"7,71,444.98"
September-2021,259,3654.3,"6,54,351.81"
August-2021,249,3555.55,"6,39,116.95"
July-2021,235,3247.82,"6,06,281.14"
June-2021,229,2807.51,"5,47,373.17"
May-2021,224,2539.57,"4,90,638.65"
April-2021,220,2641.06,"4,93,663.68"
